,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
59153,2023,2022-23,1610612753,Orlando Magic,1629626,Bol Bol,F,PF,11-14-2022,22200200,ORL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,4.85,22,1,11,7
59154,2023,2022-23,1610612753,Orlando Magic,1630591,Jalen Suggs,G,PG,11-14-2022,22200200,ORL,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.2,18.95,15,1,10,38
59155,2023,2022-23,1610612753,Orlando Magic,1628976,Wendell Carter Jr.,C,C,11-14-2022,22200200,ORL,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.0,29.55,25,1,10,35
59156,2023,2022-23,1610612753,Orlando Magic,1630591,Jalen Suggs,G,PG,11-14-2022,22200200,ORL,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.5,21.85,26,1,9,54
59157,2023,2022-23,1610612753,Orlando Magic,1629626,Bol Bol,F,PF,11-14-2022,22200200,ORL,CHA,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.3,9.05,4,1,9,19
59158,2023,2022-23,1610612753,Orlando Magic,1630532,Franz Wagner,F,SF,11-14-2022,22200200,ORL,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,7.15,2,1,8,46
59159,2023,2022-23,1610612753,Orlando Magic,1629643,Chuma Okeke,F,SF,11-14-2022,22200200,ORL,CHA,Missed Shot,False,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1,9.55,4,1,8,19
59160,2023,2022-23,1610612753,Orlando Magic,1629626,Bol Bol,F,PF,11-14-2022,22200200,ORL,CHA,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.3,5.55,9,1,8,13
59161,2023,2022-23,1610612753,Orlando Magic,1629626,Bol Bol,F,PF,11-14-2022,22200200,ORL,CHA,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-6.6,19.35,15,1,7,55
59162,2023,2022-23,1610612753,Orlando Magic,1629643,Chuma Okeke,F,SF,11-14-2022,22200200,ORL,CHA,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.85,1,1,6,27
