,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
57141,2023,2022-23,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,03-22-2023,22201087,CHI,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.5,26.85,26,1,11,45
57142,2023,2022-23,1610612755,Philadelphia 76ers,1629001,De'Anthony Melton,G,PG,03-22-2023,22201087,CHI,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.1,26.95,25,1,11,38
57143,2023,2022-23,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,03-22-2023,22201087,CHI,PHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.95,1,1,11,25
57144,2023,2022-23,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,03-22-2023,22201087,CHI,PHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.5,14.05,13,1,10,55
57145,2023,2022-23,1610612755,Philadelphia 76ers,1630178,Tyrese Maxey,G,SG,03-22-2023,22201087,CHI,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.9,4.35,22,1,10,22
57146,2023,2022-23,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,03-22-2023,22201087,CHI,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.7,25.45,25,1,9,51
57147,2023,2022-23,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,03-22-2023,22201087,CHI,PHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.85,1,1,9,8
57148,2023,2022-23,1610612755,Philadelphia 76ers,1629001,De'Anthony Melton,G,PG,03-22-2023,22201087,CHI,PHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.35,0,1,8,52
57149,2023,2022-23,1610612755,Philadelphia 76ers,1629001,De'Anthony Melton,G,PG,03-22-2023,22201087,CHI,PHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,6.75,1,1,8,47
57150,2023,2022-23,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,03-22-2023,22201087,CHI,PHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,1,7,41
57151,2023,2022-23,1610612755,Philadelphia 76ers,1630178,Tyrese Maxey,G,SG,03-22-2023,22201087,CHI,PHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,1,7,13
57152,2023,2022-23,1610612755,Philadelphia 76ers,202699,Tobias Harris,F,PF,03-22-2023,22201087,CHI,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.9,19.95,23,1,6,43
57153,2023,2022-23,1610612755,Philadelphia 76ers,1627863,Danuel House Jr.,F,SF,03-22-2023,22201087,CHI,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,3.15,23,1,5,56
57154,2023,2022-23,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,03-22-2023,22201087,CHI,PHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,6.45,2,1,5,43
57155,2023,2022-23,1610612755,Philadelphia 76ers,203954,Joel Embiid,C,C,03-22-2023,22201087,CHI,PHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.9,14.85,9,1,4,48
57156,2023,2022-23,1610612755,Philadelphia 76ers,1627863,Danuel House Jr.,F,SF,03-22-2023,22201087,CHI,PHI,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.15,0,1,4,31
57157,2023,2022-23,1610612755,Philadelphia 76ers,1629003,Shake Milton,G,SG,03-22-2023,22201087,CHI,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,3.75,22,1,3,22
