,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
26830,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,02-06-2023,22200811,CHI,SAS,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,6.45,2,1,11,17
26831,2023,2022-23,1610612759,San Antonio Spurs,1627751,Jakob Poeltl,C,C,02-06-2023,22200811,CHI,SAS,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.75,0,1,10,53
26832,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,02-06-2023,22200811,CHI,SAS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,5.75,1,1,10,20
26833,2023,2022-23,1610612759,San Antonio Spurs,1626196,Josh Richardson,G,SG,02-06-2023,22200811,CHI,SAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.6,17.75,13,1,9,55
26834,2023,2022-23,1610612759,San Antonio Spurs,1631103,Malaki Branham,F,SF,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.85,1,1,9,23
26835,2023,2022-23,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,02-06-2023,22200811,CHI,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.0,26.35,25,1,8,56
26836,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,02-06-2023,22200811,CHI,SAS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,1,8,22
26837,2023,2022-23,1610612759,San Antonio Spurs,1626196,Josh Richardson,G,SG,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.05,1,1,8,2
26838,2023,2022-23,1610612759,San Antonio Spurs,1627751,Jakob Poeltl,C,C,02-06-2023,22200811,CHI,SAS,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,1,7,56
26839,2023,2022-23,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,02-06-2023,22200811,CHI,SAS,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.0,10.05,4,1,7,13
26840,2023,2022-23,1610612759,San Antonio Spurs,1631103,Malaki Branham,F,SF,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.45,1,1,6,48
26841,2023,2022-23,1610612759,San Antonio Spurs,1626196,Josh Richardson,G,SG,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.8,22.45,19,1,5,45
26842,2023,2022-23,1610612759,San Antonio Spurs,1628966,Keita Bates-Diop,F,SF,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.2,17.75,13,1,5,7
26843,2023,2022-23,1610612759,San Antonio Spurs,1626196,Josh Richardson,G,SG,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.3,30.15,25,1,4,43
26844,2023,2022-23,1610612759,San Antonio Spurs,1631104,Blake Wesley,G,SG,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.2,6.15,5,1,4,10
26845,2023,2022-23,1610612759,San Antonio Spurs,1626196,Josh Richardson,G,SG,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.2,27.95,26,1,3,18
26846,2023,2022-23,1610612759,San Antonio Spurs,1631104,Blake Wesley,G,SG,02-06-2023,22200811,CHI,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.2,6.25,23,1,2,51
26847,2023,2022-23,1610612759,San Antonio Spurs,203926,Doug McDermott,F,SF,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.05,1,1,2,23
26848,2023,2022-23,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,11.15,5,1,2,3
26849,2023,2022-23,1610612759,San Antonio Spurs,1631104,Blake Wesley,G,SG,02-06-2023,22200811,CHI,SAS,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.95,1,1,1,42
26850,2023,2022-23,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.1,28.25,25,1,1,1
26851,2023,2022-23,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,02-06-2023,22200811,CHI,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.95,0,1,0,42
26852,2023,2022-23,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.5,30.35,25,1,0,20
26853,2023,2022-23,1610612759,San Antonio Spurs,1631103,Malaki Branham,F,SF,02-06-2023,22200811,CHI,SAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.7,17.25,18,2,11,48
26854,2023,2022-23,1610612759,San Antonio Spurs,1631103,Malaki Branham,F,SF,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.3,30.85,27,2,11,19
26855,2023,2022-23,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,02-06-2023,22200811,CHI,SAS,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.45,0,2,10,46
26856,2023,2022-23,1610612759,San Antonio Spurs,203926,Doug McDermott,F,SF,02-06-2023,22200811,CHI,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,7.05,22,2,10,19
26857,2023,2022-23,1610612759,San Antonio Spurs,1631103,Malaki Branham,F,SF,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.8,29.15,25,2,9,53
26858,2023,2022-23,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,02-06-2023,22200811,CHI,SAS,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.25,1,2,9,22
26859,2023,2022-23,1610612759,San Antonio Spurs,203926,Doug McDermott,F,SF,02-06-2023,22200811,CHI,SAS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.9,7.75,11,2,9,2
