,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
24090,2023,2022-23,1610612759,San Antonio Spurs,1630170,Devin Vassell,G,SG,12-04-2022,22200345,SAS,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.3,20.05,18,1,11,41
24091,2023,2022-23,1610612759,San Antonio Spurs,1630170,Devin Vassell,G,SG,12-04-2022,22200345,SAS,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.0,26.05,25,1,11,12
24092,2023,2022-23,1610612759,San Antonio Spurs,1630200,Tre Jones,G,PG,12-04-2022,22200345,SAS,PHX,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.25,1,1,10,54
24093,2023,2022-23,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,12-04-2022,22200345,SAS,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.3,26.05,25,1,10,22
24094,2023,2022-23,1610612759,San Antonio Spurs,1630170,Devin Vassell,G,SG,12-04-2022,22200345,SAS,PHX,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.65,0,1,9,54
24095,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,12-04-2022,22200345,SAS,PHX,Missed Shot,False,Floating Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.6,6.75,3,1,8,33
24096,2023,2022-23,1610612759,San Antonio Spurs,1628380,Zach Collins,C,C,12-04-2022,22200345,SAS,PHX,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,1,8,30
24097,2023,2022-23,1610612759,San Antonio Spurs,1630170,Devin Vassell,G,SG,12-04-2022,22200345,SAS,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.1,15.35,10,1,7,47
24098,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,12-04-2022,22200345,SAS,PHX,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.7,14.65,9,1,6,48
24099,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,12-04-2022,22200345,SAS,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.5,17.75,14,1,5,56
24100,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,12-04-2022,22200345,SAS,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,5.75,2,1,5,7
24101,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,12-04-2022,22200345,SAS,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.1,18.95,13,1,4,45
24102,2023,2022-23,1610612759,San Antonio Spurs,1631103,Malaki Branham,F,SF,12-04-2022,22200345,SAS,PHX,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.7,14.65,13,1,4,17
24103,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,12-04-2022,22200345,SAS,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.3,25.55,26,1,3,17
24104,2023,2022-23,1610612759,San Antonio Spurs,1629641,Romeo Langford,G,SG,12-04-2022,22200345,SAS,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.05,1,1,2,56
24105,2023,2022-23,1610612759,San Antonio Spurs,1629640,Keldon Johnson,F,SF,12-04-2022,22200345,SAS,PHX,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-5.1,13.15,9,1,2,28
24106,2023,2022-23,1610612759,San Antonio Spurs,1630170,Devin Vassell,G,SG,12-04-2022,22200345,SAS,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.8,27.05,26,1,1,57
