,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
18277,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.5,7.75,14,1,11,40
18278,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,9.65,23,1,11,21
18279,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.8,14.25,10,1,10,45
18280,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,9.95,4,1,10,9
18281,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.8,9.85,6,1,9,57
18282,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.75,0,1,9,55
18283,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.1,24.05,26,1,9,12
18284,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,5.1,18.85,14,1,8,35
18285,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.4,29.35,29,1,8,10
18286,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.0,23.55,25,1,7,49
18287,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,27.05,28,1,7,23
18288,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.3,13.85,8,1,6,57
18289,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,14.5,14.45,17,1,6,26
18290,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.8,5.25,23,1,5,39
18291,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.0,11.25,6,1,5,11
18292,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,8.65,23,1,4,41
18293,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.6,6.55,2,1,4,11
18294,2023,2022-23,1610612761,Toronto Raptors,1630201,Malachi Flynn,G,PG,01-14-2023,22200644,TOR,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.7,31.25,26,1,3,39
18295,2023,2022-23,1610612761,Toronto Raptors,1630201,Malachi Flynn,G,PG,01-14-2023,22200644,TOR,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.45,0,1,3,20
18296,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.85,0,1,3,1
18297,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.9,15.35,10,1,2,26
18298,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.8,17.75,15,1,1,52
18299,2023,2022-23,1610612761,Toronto Raptors,1627823,Juancho Hernangomez,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.8,9.05,24,1,1,22
18300,2023,2022-23,1610612761,Toronto Raptors,1630201,Malachi Flynn,G,PG,01-14-2023,22200644,TOR,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.8,6.75,9,1,0,50
18301,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1,13.05,7,1,0,24
18302,2023,2022-23,1610612761,Toronto Raptors,1631132,Christian Koloko,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,1.5,56.45,51,1,0,0
18303,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-14-2023,22200644,TOR,ATL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.25,1,2,11,35
18304,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.15,0,2,11,1
18305,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.5,19.05,20,2,10,23
18306,2023,2022-23,1610612761,Toronto Raptors,1627823,Juancho Hernangomez,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.4,32.95,28,2,9,32
18307,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,8.85,3,2,8,10
18308,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.65,0,2,7,57
18309,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.2,17.95,13,2,6,57
18310,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.5,11.75,6,2,6,31
18311,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,9.55,5,2,6,13
18312,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,6.45,1,2,6,0
18313,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,7.55,3,2,5,9
18314,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,2,5,6
18315,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.55,1,2,4,19
18316,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.9,14.45,9,2,3,11
18317,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.95,1,2,2,8
18318,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,7.35,2,2,1,15
18319,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.6,28.35,26,2,0,55
18320,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.6,30.55,26,2,0,33
18321,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,2,0,28
18322,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.55,0,3,11,10
18323,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.2,12.45,16,3,10,31
18324,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.3,29.25,26,3,9,59
18325,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.85,23,3,9,23
18326,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.25,1,3,8,58
18327,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.8,30.45,26,3,8,16
18328,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,6.25,1,3,7,36
18329,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.6,21.05,25,3,6,40
18330,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.05,1,3,6,20
18331,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.8,28.35,25,3,5,33
18332,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.2,7.45,6,3,5,14
18333,2023,2022-23,1610612761,Toronto Raptors,1627832,Fred VanVleet,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.5,29.45,27,3,4,46
18334,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.35,1,3,3,2
18335,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,3,2,58
18336,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.5,27.65,26,3,2,26
18337,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.8,7.15,5,3,1,57
18338,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.2,6.55,10,3,1,33
18339,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,01-14-2023,22200644,TOR,ATL,Made Shot,True,Turnaround Bank shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,6.65,1,3,1,11
18340,2023,2022-23,1610612761,Toronto Raptors,1630201,Malachi Flynn,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,23.3,16.05,25,3,0,44
18341,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.8,12.95,8,3,0,7
18342,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,-2.0,54.45,49,3,0,0
18343,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,6.95,2,4,11,38
18344,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,11,35
18345,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.0,16.75,11,4,10,58
18346,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.1,5.85,5,4,9,58
18347,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.95,1,4,9,24
18348,2023,2022-23,1610612761,Toronto Raptors,1630201,Malachi Flynn,G,PG,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.6,12.65,7,4,8,55
18349,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.5,22.85,25,4,8,53
18350,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.75,1,4,8,50
18351,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.2,28.35,25,4,8,24
18352,2023,2022-23,1610612761,Toronto Raptors,1627823,Juancho Hernangomez,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-17.2,20.55,23,4,7,28
18353,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.4,19.85,25,4,6,57
18354,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.3,13.75,9,4,6,20
18355,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.8,5.75,3,4,5,47
18356,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.85,2,4,4,32
18357,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,6.95,23,4,3,51
18358,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,5.85,22,4,3,27
18359,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,6.35,23,4,3,14
18360,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.9,29.25,25,4,2,31
18361,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.95,1,4,1,46
18362,2023,2022-23,1610612761,Toronto Raptors,1630173,Precious Achiuwa,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.2,10.55,6,4,1,22
18363,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,7.65,2,4,0,47
213539,2023,2022-23,1610612737,Atlanta Hawks,1630168,Onyeka Okongwu,C,C,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.5,7.95,5,1,10,56
213540,2023,2022-23,1610612737,Atlanta Hawks,1627749,Dejounte Murray,G,SG,01-14-2023,22200644,TOR,ATL,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.8,10.25,6,1,10,28
213541,2023,2022-23,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.6,28.35,25,1,10,2
213542,2023,2022-23,1610612737,Atlanta Hawks,1629631,De'Andre Hunter,F,SF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,5.65,23,1,9,30
213543,2023,2022-23,1610612737,Atlanta Hawks,1630168,Onyeka Okongwu,C,C,01-14-2023,22200644,TOR,ATL,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.65,0,1,8,57
213544,2023,2022-23,1610612737,Atlanta Hawks,1628381,John Collins,F,PF,01-14-2023,22200644,TOR,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.95,1,1,8,29
213545,2023,2022-23,1610612737,Atlanta Hawks,1629631,De'Andre Hunter,F,SF,01-14-2023,22200644,TOR,ATL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.3,4.55,14,1,7,30
