,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
17641,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.9,11.35,6,1,11,11
17642,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,12-30-2022,22200531,TOR,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.0,30.35,25,1,10,48
17643,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,12-30-2022,22200531,TOR,PHX,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.2,15.65,10,1,10,14
17644,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.0,26.25,27,1,9,42
17645,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,12-30-2022,22200531,TOR,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.3,27.65,26,1,9,37
17646,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-15.4,17.95,19,1,8,47
17647,2023,2022-23,1610612761,Toronto Raptors,1631132,Christian Koloko,C,C,12-30-2022,22200531,TOR,PHX,Made Shot,True,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,6.95,2,1,8,16
17648,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.3,27.15,25,1,7,38
17649,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,12-30-2022,22200531,TOR,PHX,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.35,1,1,7,11
17650,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.9,30.55,25,1,6,47
17651,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,14.2,15.15,17,1,6,11
17652,2023,2022-23,1610612761,Toronto Raptors,1631132,Christian Koloko,C,C,12-30-2022,22200531,TOR,PHX,Made Shot,True,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,9.05,3,1,5,45
17653,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,12-30-2022,22200531,TOR,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.2,29.95,26,1,5,9
17654,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.2,20.85,25,1,4,8
17655,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.6,30.25,25,1,3,42
17656,2023,2022-23,1610612761,Toronto Raptors,201152,Thaddeus Young,F,PF,12-30-2022,22200531,TOR,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,7.95,3,1,3,5
17657,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.2,7.45,10,1,2,42
17658,2023,2022-23,1610612761,Toronto Raptors,1630201,Malachi Flynn,G,PG,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.5,22.95,25,1,2,23
17659,2023,2022-23,1610612761,Toronto Raptors,1630201,Malachi Flynn,G,PG,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.6,18.75,25,1,2,11
17660,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,12-30-2022,22200531,TOR,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.1,22.85,25,1,1,36
17661,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,12-30-2022,22200531,TOR,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.35,23,1,0,38
17662,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.8,12.35,8,1,0,3
17663,2023,2022-23,1610612761,Toronto Raptors,201152,Thaddeus Young,F,PF,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.9,8.75,10,2,11,35
17664,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.9,11.65,24,2,10,39
17665,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.1,8.15,5,2,10,10
17666,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,16.85,11,2,9,39
17667,2023,2022-23,1610612761,Toronto Raptors,1630201,Malachi Flynn,G,PG,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.8,31.85,26,2,9,21
17668,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,12-30-2022,22200531,TOR,PHX,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.95,1,2,8,3
17669,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.3,31.55,26,2,7,19
17670,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.8,28.65,26,2,6,33
17671,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,12-30-2022,22200531,TOR,PHX,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.2,23.05,19,2,6,7
17672,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.2,6.85,14,2,5,47
17673,2023,2022-23,1610612761,Toronto Raptors,1629018,Gary Trent Jr.,G,SG,12-30-2022,22200531,TOR,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.7,20.55,25,2,5,12
17674,2023,2022-23,1610612761,Toronto Raptors,1628384,O.G. Anunoby,,,12-30-2022,22200531,TOR,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.8,31.25,26,2,4,23
17675,2023,2022-23,1610612761,Toronto Raptors,1627783,Pascal Siakam,C,C,12-30-2022,22200531,TOR,PHX,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,7.85,3,2,3,52
17676,2023,2022-23,1610612761,Toronto Raptors,1628449,Chris Boucher,F,PF,12-30-2022,22200531,TOR,PHX,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,7.15,1,2,3,23
17677,2023,2022-23,1610612761,Toronto Raptors,1630567,Scottie Barnes,F,PF,12-30-2022,22200531,TOR,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.6,15.65,23,2,2,36
