,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
12301,2023,2022-23,1610612762,Utah Jazz,203482,Kelly Olynyk,C,C,02-13-2023,22200859,IND,UTA,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.5,7.55,3,1,11,9
12302,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.0,27.05,25,1,10,5
12303,2023,2022-23,1610612762,Utah Jazz,203482,Kelly Olynyk,C,C,02-13-2023,22200859,IND,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,4.35,23,1,9,43
12304,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,8.05,3,1,9,18
12305,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.1,5.35,14,1,8,40
12306,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.5,31.05,28,1,8,13
12307,2023,2022-23,1610612762,Utah Jazz,1631117,Walker Kessler,C,C,02-13-2023,22200859,IND,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,7.45,3,1,7,54
12308,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.0,24.15,27,1,7,11
12309,2023,2022-23,1610612762,Utah Jazz,1629012,Collin Sexton,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.85,0,1,6,46
12310,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.95,0,1,6,23
12311,2023,2022-23,1610612762,Utah Jazz,1631117,Walker Kessler,C,C,02-13-2023,22200859,IND,UTA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.05,1,1,5,58
12312,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.6,28.55,28,1,5,24
12313,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,7.95,2,1,4,43
12314,2023,2022-23,1610612762,Utah Jazz,1629659,Talen Horton-Tucker,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.4,31.75,27,1,4,9
12315,2023,2022-23,1610612762,Utah Jazz,203482,Kelly Olynyk,C,C,02-13-2023,22200859,IND,UTA,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.3,10.95,10,1,3,41
12316,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,7.55,2,1,3,11
12317,2023,2022-23,1610612762,Utah Jazz,1629659,Talen Horton-Tucker,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.4,16.15,15,1,2,46
12318,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.6,9.95,4,1,2,24
12319,2023,2022-23,1610612762,Utah Jazz,200752,Rudy Gay,F,PF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.6,5.35,3,1,1,35
12320,2023,2022-23,1610612762,Utah Jazz,1629659,Talen Horton-Tucker,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,6.75,3,1,1,31
12321,2023,2022-23,1610612762,Utah Jazz,1628962,Udoka Azubuike,C,C,02-13-2023,22200859,IND,UTA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.75,1,1,1,11
12322,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.4,28.55,23,1,0,36
12323,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Made Shot,True,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.35,1,1,0,15
12324,2023,2022-23,1610612762,Utah Jazz,1629659,Talen Horton-Tucker,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,13.7,54.25,50,1,0,0
12325,2023,2022-23,1610612762,Utah Jazz,200752,Rudy Gay,F,PF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.6,9.35,12,2,11,35
12326,2023,2022-23,1610612762,Utah Jazz,1628962,Udoka Azubuike,C,C,02-13-2023,22200859,IND,UTA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.05,0,2,11,24
12327,2023,2022-23,1610612762,Utah Jazz,1629012,Collin Sexton,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.6,7.55,3,2,11,1
12328,2023,2022-23,1610612762,Utah Jazz,1629012,Collin Sexton,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.4,9.55,6,2,10,12
12329,2023,2022-23,1610612762,Utah Jazz,1631323,Simone Fontecchio,F,SF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.8,27.55,25,2,9,39
12330,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.7,30.55,26,2,8,53
12331,2023,2022-23,1610612762,Utah Jazz,1629012,Collin Sexton,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,8.65,3,2,8,27
12332,2023,2022-23,1610612762,Utah Jazz,1629012,Collin Sexton,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,9.95,5,2,7,33
12333,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,7.95,3,2,7,10
12334,2023,2022-23,1610612762,Utah Jazz,1631117,Walker Kessler,C,C,02-13-2023,22200859,IND,UTA,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.5,7.25,3,2,6,36
12335,2023,2022-23,1610612762,Utah Jazz,1629659,Talen Horton-Tucker,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.5,27.45,27,2,6,2
12336,2023,2022-23,1610612762,Utah Jazz,1629659,Talen Horton-Tucker,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.8,11.25,12,2,5,19
12337,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.8,27.85,25,2,5,2
12338,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.3,16.35,11,2,4,31
12339,2023,2022-23,1610612762,Utah Jazz,1630534,Ochai Agbaji,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.9,5.75,22,2,4,2
12340,2023,2022-23,1610612762,Utah Jazz,1630534,Ochai Agbaji,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.1,21.55,26,2,3,24
12341,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.1,9.15,7,2,2,59
12342,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,28.35,26,2,2,13
12343,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.75,2,2,1,51
12344,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.1,12.05,7,2,1,45
12345,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,7.05,2,2,0,31
12346,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,2,0,29
12347,2023,2022-23,1610612762,Utah Jazz,1628374,Lauri Markkanen,F,SF,02-13-2023,22200859,IND,UTA,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,28.35,26,2,0,3
12348,2023,2022-23,1610612762,Utah Jazz,1630534,Ochai Agbaji,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.4,12.35,13,2,0,0
12349,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.9,24.45,25,3,10,57
12350,2023,2022-23,1610612762,Utah Jazz,1629012,Collin Sexton,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.3,10.35,6,3,9,19
12351,2023,2022-23,1610612762,Utah Jazz,203482,Kelly Olynyk,C,C,02-13-2023,22200859,IND,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.3,29.45,25,3,8,58
12352,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,02-13-2023,22200859,IND,UTA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,6.85,3,3,8,35
