,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
11243,2023,2022-23,1610612762,Utah Jazz,201144,Mike Conley,G,PG,01-16-2023,22200662,MIN,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.2,28.25,25,1,11,27
11244,2023,2022-23,1610612762,Utah Jazz,1627736,Malik Beasley,G,SG,01-16-2023,22200662,MIN,UTA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.7,26.75,22,1,10,40
11245,2023,2022-23,1610612762,Utah Jazz,1627736,Malik Beasley,G,SG,01-16-2023,22200662,MIN,UTA,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.2,30.25,25,1,10,17
11246,2023,2022-23,1610612762,Utah Jazz,1631117,Walker Kessler,C,C,01-16-2023,22200662,MIN,UTA,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.1,8.35,4,1,10,1
11247,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-16-2023,22200662,MIN,UTA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.6,23.35,25,1,9,26
11248,2023,2022-23,1610612762,Utah Jazz,1629020,Jarred Vanderbilt,F,PF,01-16-2023,22200662,MIN,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.6,14.45,12,1,9,24
11249,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-16-2023,22200662,MIN,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,19.25,24,1,8,50
11250,2023,2022-23,1610612762,Utah Jazz,201144,Mike Conley,G,PG,01-16-2023,22200662,MIN,UTA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.1,23.05,25,1,8,29
11251,2023,2022-23,1610612762,Utah Jazz,201144,Mike Conley,G,PG,01-16-2023,22200662,MIN,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.2,20.05,25,1,8,0
11252,2023,2022-23,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-16-2023,22200662,MIN,UTA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.3,22.15,24,1,7,21
11253,2023,2022-23,1610612762,Utah Jazz,1627736,Malik Beasley,G,SG,01-16-2023,22200662,MIN,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.8,24.15,24,1,6,38
11254,2023,2022-23,1610612762,Utah Jazz,1629012,Collin Sexton,G,SG,01-16-2023,22200662,MIN,UTA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,5.15,1,1,5,17
11255,2023,2022-23,1610612762,Utah Jazz,1630534,Ochai Agbaji,G,SG,01-16-2023,22200662,MIN,UTA,Made Shot,True,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.4,6.95,23,1,4,48
11256,2023,2022-23,1610612762,Utah Jazz,1629012,Collin Sexton,G,SG,01-16-2023,22200662,MIN,UTA,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.9,10.75,5,1,4,21
11257,2023,2022-23,1610612762,Utah Jazz,200752,Rudy Gay,F,PF,01-16-2023,22200662,MIN,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.4,5.75,22,1,3,48
