,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
6753,2023,2022-23,1610612764,Washington Wizards,1630557,Corey Kispert,F,SF,04-04-2023,22201179,WAS,MIL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,15.1,21.05,21,1,11,15
6754,2023,2022-23,1610612764,Washington Wizards,1631098,Johnny Davis,G,SG,04-04-2023,22201179,WAS,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.1,32.35,27,1,10,49
6755,2023,2022-23,1610612764,Washington Wizards,1630557,Corey Kispert,F,SF,04-04-2023,22201179,WAS,MIL,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.2,9.85,7,1,10,30
6756,2023,2022-23,1610612764,Washington Wizards,1630557,Corey Kispert,F,SF,04-04-2023,22201179,WAS,MIL,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.6,17.35,12,1,10,9
6757,2023,2022-23,1610612764,Washington Wizards,1629655,Daniel Gafford,C,C,04-04-2023,22201179,WAS,MIL,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,1,10,7
6758,2023,2022-23,1610612764,Washington Wizards,1631098,Johnny Davis,G,SG,04-04-2023,22201179,WAS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.4,27.25,28,1,9,45
6759,2023,2022-23,1610612764,Washington Wizards,1630692,Jordan Goodwin,G,PG,04-04-2023,22201179,WAS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.3,26.95,24,1,9,18
6760,2023,2022-23,1610612764,Washington Wizards,1629655,Daniel Gafford,C,C,04-04-2023,22201179,WAS,MIL,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.8,11.45,6,1,8,44
6761,2023,2022-23,1610612764,Washington Wizards,1630264,Anthony Gill,F,PF,04-04-2023,22201179,WAS,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.8,29.15,28,1,8,19
6762,2023,2022-23,1610612764,Washington Wizards,1630692,Jordan Goodwin,G,PG,04-04-2023,22201179,WAS,MIL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,14.5,15.65,17,1,7,47
