,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
5103,2023,2022-23,1610612764,Washington Wizards,1629655,Daniel Gafford,C,C,02-24-2023,22200895,WAS,NYK,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.5,6.05,0,1,11,44
5104,2023,2022-23,1610612764,Washington Wizards,204001,Kristaps Porzingis,C,C,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.6,33.55,28,1,11,16
5105,2023,2022-23,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.7,20.95,25,1,10,41
5106,2023,2022-23,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-24-2023,22200895,WAS,NYK,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.7,5.95,8,1,10,13
5107,2023,2022-23,1610612764,Washington Wizards,204001,Kristaps Porzingis,C,C,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,6.45,2,1,9,44
5108,2023,2022-23,1610612764,Washington Wizards,204001,Kristaps Porzingis,C,C,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.4,25.95,25,1,9,5
5109,2023,2022-23,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.1,14.95,11,1,8,17
5110,2023,2022-23,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.7,5.45,3,1,8,1
5111,2023,2022-23,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,02-24-2023,22200895,WAS,NYK,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,5.45,1,1,7,8
5112,2023,2022-23,1610612764,Washington Wizards,1628420,Monte Morris,G,PG,02-24-2023,22200895,WAS,NYK,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.1,14.75,9,1,5,55
5113,2023,2022-23,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,10.05,4,1,5,5
5114,2023,2022-23,1610612764,Washington Wizards,1628420,Monte Morris,G,PG,02-24-2023,22200895,WAS,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,6.45,2,1,4,43
5115,2023,2022-23,1610612764,Washington Wizards,204001,Kristaps Porzingis,C,C,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.5,25.75,28,1,4,11
5116,2023,2022-23,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,02-24-2023,22200895,WAS,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,6.35,2,1,3,28
5117,2023,2022-23,1610612764,Washington Wizards,204001,Kristaps Porzingis,C,C,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.3,33.15,27,1,2,55
5118,2023,2022-23,1610612764,Washington Wizards,204001,Kristaps Porzingis,C,C,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.7,29.85,29,1,2,22
5119,2023,2022-23,1610612764,Washington Wizards,1630557,Corey Kispert,F,SF,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.6,19.95,26,1,2,0
5120,2023,2022-23,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-24-2023,22200895,WAS,NYK,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.5,12.35,8,1,0,50
5121,2023,2022-23,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.6,7.55,7,1,0,14
5122,2023,2022-23,1610612764,Washington Wizards,1626153,Delon Wright,G,PG,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,19.7,55.75,54,1,0,0
5123,2023,2022-23,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.4,13.65,9,2,11,34
5124,2023,2022-23,1610612764,Washington Wizards,1626153,Delon Wright,G,PG,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.1,26.95,27,2,11,13
5125,2023,2022-23,1610612764,Washington Wizards,1629134,Kendrick Nunn,G,SG-PG,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.7,3.85,22,2,10,29
5126,2023,2022-23,1610612764,Washington Wizards,201959,Taj Gibson,C,C,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.3,7.75,4,2,9,59
5127,2023,2022-23,1610612764,Washington Wizards,1626153,Delon Wright,G,PG,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.1,21.45,25,2,9,27
5128,2023,2022-23,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,4.65,23,2,8,38
5129,2023,2022-23,1610612764,Washington Wizards,1629134,Kendrick Nunn,G,SG-PG,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,4.95,22,2,8,8
5130,2023,2022-23,1610612764,Washington Wizards,1630557,Corey Kispert,F,SF,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.4,28.85,29,2,7,37
5131,2023,2022-23,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,02-24-2023,22200895,WAS,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,6.75,3,2,7,7
5132,2023,2022-23,1610612764,Washington Wizards,1626153,Delon Wright,G,PG,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.1,4.85,24,2,6,44
5133,2023,2022-23,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,02-24-2023,22200895,WAS,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.3,29.45,26,2,6,29
5134,2023,2022-23,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,02-24-2023,22200895,WAS,NYK,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.4,16.35,14,2,5,55
5135,2023,2022-23,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,6.45,1,2,5,30
5136,2023,2022-23,1610612764,Washington Wizards,1629134,Kendrick Nunn,G,SG-PG,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.1,3.35,19,2,4,57
5137,2023,2022-23,1610612764,Washington Wizards,1629134,Kendrick Nunn,G,SG-PG,02-24-2023,22200895,WAS,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.7,28.35,27,2,4,22
